No se encuentra la base de datos indicada.﻿0
Fecha|Valor
2004-03-23 00:00:00|78.0
2004-03-24 00:00:00|78.0
2004-03-25 00:00:00|78.0
2004-03-26 00:00:00|64.0
2004-03-27 00:00:00|64.0
2004-03-28 00:00:00|61.9
2004-03-29 00:00:00|58.4
2004-03-30 00:00:00|58.4
2004-03-31 00:00:00|57.0
2004-04-01 00:00:00|55.6
2004-04-02 00:00:00|55.6
2004-04-03 00:00:00|55.6
2004-04-04 00:00:00|57.0
2004-04-05 00:00:00|58.4
2004-04-06 00:00:00|262.0
2004-04-07 00:00:00|463.6
2004-04-08 00:00:00|471.0
2004-04-09 00:00:00|467.3
2004-04-10 00:00:00|467.3
2004-04-11 00:00:00|315.5
2004-04-12 00:00:00|83.85
2004-04-13 00:00:00|64.0
2004-04-14 00:00:00|59.8
2004-04-15 00:00:00|61.2
2004-04-16 00:00:00|64.0
2004-04-17 00:00:00|62.6
2004-04-18 00:00:00|57.7
2004-04-19 00:00:00|61.9
2004-04-20 00:00:00|59.8
2004-04-21 00:00:00|234.9
2004-04-22 00:00:00|236.5
2004-04-23 00:00:00|121.3
2004-04-24 00:00:00|108.8
2004-04-25 00:00:00|222.3
2004-04-26 00:00:00|368.3
2004-04-27 00:00:00|444.3
2004-04-28 00:00:00|509.5
2004-04-29 00:00:00|516.7
2004-04-30 00:00:00|510.4
2004-05-01 00:00:00|473.1
2004-05-02 00:00:00|314.6
2004-05-03 00:00:00|218.2
2004-05-04 00:00:00|221.5
2004-05-05 00:00:00|190.8
2004-05-06 00:00:00|170.5
2004-05-07 00:00:00|317.1
2004-05-08 00:00:00|384.9
2004-05-09 00:00:00|258.8
2004-05-10 00:00:00|167.5
2004-05-11 00:00:00|279.6
2004-05-12 00:00:00|374.4
2004-05-13 00:00:00|247.6
2004-05-14 00:00:00|152.4
2004-05-15 00:00:00|318.0
2004-05-16 00:00:00|323.8
2004-05-17 00:00:00|241.0
2004-05-18 00:00:00|189.3
2004-05-19 00:00:00|214.0
2004-05-20 00:00:00|334.5
2004-05-21 00:00:00|447.0
2004-05-22 00:00:00|282.0
2004-05-23 00:00:00|126.0
2004-05-24 00:00:00|153.3
2004-05-25 00:00:00|335.5
2004-05-26 00:00:00|487.8
2004-05-27 00:00:00|617.0
2004-05-28 00:00:00|544.4
2004-05-29 00:00:00|536.5
2004-05-30 00:00:00|573.5
2004-05-31 00:00:00|549.0
2004-06-01 00:00:00|566.8
2004-06-02 00:00:00|512.7
2004-06-03 00:00:00|434.0
2004-06-04 00:00:00|494.3
2004-06-05 00:00:00|601.3
2004-06-06 00:00:00|587.3
2004-06-07 00:00:00|564.8
2004-06-08 00:00:00|543.5
2004-06-09 00:00:00|501.2
2004-06-10 00:00:00|484.6
2004-06-11 00:00:00|491.5
2004-06-12 00:00:00|583.8
2004-06-13 00:00:00|624.0
2004-06-14 00:00:00|620.5
2004-06-15 00:00:00|582.3
2004-06-16 00:00:00|573.5
2004-06-17 00:00:00|612.6
2004-06-18 00:00:00|724.2
2004-06-19 00:00:00|649.3
2004-06-20 00:00:00|624.0
2004-06-21 00:00:00|631.0
2004-06-22 00:00:00|615.3
2004-06-23 00:00:00|583.8
2004-06-24 00:00:00|563.1
2004-06-25 00:00:00|583.8
2004-06-26 00:00:00|488.3
2004-06-27 00:00:00|350.8
2004-06-28 00:00:00|279.3
2004-06-29 00:00:00|506.0
2004-06-30 00:00:00|605.6
2004-07-01 00:00:00|582.0
2004-07-02 00:00:00|573.4
2004-07-03 00:00:00|615.3
2004-07-04 00:00:00|636.3
2004-07-05 00:00:00|587.4
2004-07-06 00:00:00|601.3
2004-07-07 00:00:00|640.6
2004-07-08 00:00:00|571.8
2004-07-09 00:00:00|556.3
2004-07-10 00:00:00|460.5
2004-07-11 00:00:00|412.5
2004-07-12 00:00:00|261.0
2004-07-13 00:00:00|225.6
2004-07-14 00:00:00|205.0
2004-07-15 00:00:00|369.5
2004-07-16 00:00:00|510.4
2004-07-17 00:00:00|505.0
2004-07-18 00:00:00|490.5
2004-07-19 00:00:00|505.0
2004-07-20 00:00:00|494.0
2004-07-21 00:00:00|557.0
2004-07-22 00:00:00|548.3
2004-07-23 00:00:00|537.4
2004-07-24 00:00:00|509.5
2004-07-25 00:00:00|553.4
2004-07-26 00:00:00|589.0
2004-07-27 00:00:00|525.7
2004-07-28 00:00:00|516.7
2004-07-29 00:00:00|549.0
2004-07-30 00:00:00|525.5
2004-07-31 00:00:00|488.0
2004-08-01 00:00:00|479.5
2004-08-02 00:00:00|489.7
